PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/knife.01__2	knife.01	ARG2	https://w3id.org/framester/vn/vn31/data/Instrument.knife_18030000	Instrument	Knife_18030000	https://w3id.org/framester/vn/vn31/data/Knife_18030000
https://w3id.org/framester/pb/pbdata/knife.01__2	knife.01	ARG2	https://w3id.org/framester/vn/vn31/data/Instrument.knife_42020000	Instrument	Knife_42020000	https://w3id.org/framester/vn/vn31/data/Knife_42020000
https://w3id.org/framester/pb/pbdata/knight.01__0	knight.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knight_29070000	Agent	Knight_29070000	https://w3id.org/framester/vn/vn31/data/Knight_29070000
https://w3id.org/framester/pb/pbdata/knight.01__1	knight.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.knight_29070000	Theme	Knight_29070000	https://w3id.org/framester/vn/vn31/data/Knight_29070000
https://w3id.org/framester/pb/pbdata/knit.01__0	knit.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knit_26010000	Agent	Knit_26010000	https://w3id.org/framester/vn/vn31/data/Knit_26010000
https://w3id.org/framester/pb/pbdata/knit.01__1	knit.01	ARG1	https://w3id.org/framester/vn/vn31/data/Product.knit_26010000	Product	Knit_26010000	https://w3id.org/framester/vn/vn31/data/Knit_26010000
https://w3id.org/framester/pb/pbdata/knit.01__2	knit.01	ARG2	https://w3id.org/framester/vn/vn31/data/Material.knit_26010000	Material	Knit_26010000	https://w3id.org/framester/vn/vn31/data/Knit_26010000
https://w3id.org/framester/pb/pbdata/knit.01__4	knit.01	ARG4	https://w3id.org/framester/vn/vn31/data/Product.knit_26010000	Product	Knit_26010000	https://w3id.org/framester/vn/vn31/data/Knit_26010000
https://w3id.org/framester/pb/pbdata/knit.02__1	knit.02	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.knit_40030200	Patient	Knit_40030200	https://w3id.org/framester/vn/vn31/data/Knit_40030200
https://w3id.org/framester/pb/pbdata/knock.04__0	knock.04	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knock_23020000	Agent	Knock_23020000	https://w3id.org/framester/vn/vn31/data/Knock_23020000
https://w3id.org/framester/pb/pbdata/knock.04__1	knock.04	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.knock_23020000	Patient	Knock_23020000	https://w3id.org/framester/vn/vn31/data/Knock_23020000
https://w3id.org/framester/pb/pbdata/knock.04__2	knock.04	ARG2	https://w3id.org/framester/vn/vn31/data/Co-Patient.knock_23020000	Co-Patient	Knock_23020000	https://w3id.org/framester/vn/vn31/data/Knock_23020000
https://w3id.org/framester/pb/pbdata/knot.01__0	knot.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knot_22040000	Agent	Knot_22040000	https://w3id.org/framester/vn/vn31/data/Knot_22040000
https://w3id.org/framester/pb/pbdata/knot.01__1	knot.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.knot_22040000	Patient	Knot_22040000	https://w3id.org/framester/vn/vn31/data/Knot_22040000
https://w3id.org/framester/pb/pbdata/knot.01__2	knot.01	ARG2	https://w3id.org/framester/vn/vn31/data/Co-Patient.knot_22040000	Co-Patient	Knot_22040000	https://w3id.org/framester/vn/vn31/data/Knot_22040000
https://w3id.org/framester/pb/pbdata/knot.01__LOC	knot.01	ARG-LOC	https://w3id.org/framester/vn/vn31/data/Result.knot_22040000	Result	Knot_22040000	https://w3id.org/framester/vn/vn31/data/Knot_22040000
